MergeSort QuickSort TimSort OESM Cook_Kim InsertionSort LIS BothAlgo2 TwoMomentSort DDS 
10 21 10
1536419 1536791 1536445 1536441 1536495 1536148 1536109 1536516 1536418 1536656 
985470 985533 985689 985220 984944 985576 984255 985779 985296 986371 
944705 944091 945266 944782 944830 944867 945532 945615 945941 945004 
923881 924420 923708 923403 923904 923796 924158 924019 925046 924256 
910568 911257 911471 910931 911323 910673 911074 911153 910772 911316 
902214 902094 902308 902236 901608 901640 901954 901554 902146 902088 
895084 894296 895159 895038 895328 895461 895310 894460 895475 895086 
889776 889790 889727 889957 890025 890318 889726 889983 889796 890176 
885723 885739 885872 885759 885922 885876 885589 885749 885886 885652 
882446 882341 882319 882359 882474 882162 882430 881895 882192 882138 
879607 879565 879058 879736 879727 879523 879247 879351 879420 879558 
877119 877125 877134 876852 877145 876786 876970 877154 877225 877217 
874875 875289 875089 875238 875057 875373 874920 875265 874781 875207 
873549 873214 873482 873559 873275 873518 873463 873590 873328 873647 
872030 872087 871875 871669 871772 871940 871946 872053 872177 871879 
870360 870664 870844 870706 870617 870838 870641 870458 870621 870623 
869505 869465 869502 869418 869250 869401 869423 869451 869461 869491 
868484 868495 868679 868417 868549 868289 868727 868254 868345 868263 
867476 867389 867365 867423 867428 867797 867757 867515 867483 867478 
866682 866734 866737 866689 866595 866857 866857 866628 866645 866730 
866172 866118 866155 866037 865923 865940 865944 865824 865950 865984 
2038546 2079161 2170095 1931401 1946534 1928274 1985004 2076628 2148598 1954703 
2050258 2158933 1951578 2136511 2101341 2027037 2027303 2006296 1892261 1997454 
1939301 2038721 2041755 2024211 2111140 2048113 1921372 2026642 1965817 2052057 
1974559 2152061 2030882 1952268 1957489 2000650 2051774 2057718 1998846 1954785 
2123574 2086778 2075026 1996416 1960578 2003700 2048089 2059959 1941039 2010832 
2084894 2120929 2172167 2114982 1908522 1975344 2036880 2106019 2043826 2045507 
2034569 2012952 2002344 2120514 2072417 2062014 2077191 2047358 1947843 2007104 
1971847 2078039 2010075 1955875 2106963 2017842 1950700 1976936 1962764 1965661 
2012614 2019042 1952394 1958582 2179961 1931867 2020391 2042722 2001863 2052030 
1985951 1943015 1954030 1965106 2031309 1978009 1950455 1979425 2012933 1997768 
1952059 1965074 2074448 1936665 1975095 1999624 2157464 2058926 2011360 2091304 
2090510 1961679 2033827 2100851 2071851 2012904 2009727 2059111 2030144 2078414 
2054514 1964261 1973407 2176126 1985919 1992732 2220958 1941016 2032006 1952864 
1927190 1981143 1966723 2036364 2026303 2029365 1952164 1996559 2038608 2127763 
1950369 1987539 2017870 2027304 1995111 2023337 1930958 2085549 2111274 2146308 
1992811 1944782 2019913 2033503 1910242 2146467 1976815 1985585 2019052 1937019 
2076084 2018762 1999429 2025430 1996360 2019483 1992333 1947066 1981273 2031029 
2028044 2054586 1980272 2089430 2098815 2070785 2063348 1963594 2089476 1966064 
1977764 2045157 1920042 2061877 1998615 2085730 2154874 2105453 2262713 2033766 
2116757 2099842 1979248 2056498 1988819 1932287 1983151 1995926 1999544 2033030 
1990636 1963442 2090002 1957394 1942498 2143211 1996210 2025875 1975863 1983277 
2049365 2049995 2046584 2046766 2048140 2047868 2048832 2046621 2051925 2049599 
1250741 1248882 1247837 1250440 1247051 1248380 1246249 1252427 1244688 1247600 
1077631 1076261 1079604 1076994 1076665 1079761 1081771 1079403 1082162 1080720 
982124 985949 982953 984215 984786 984356 983403 984127 989028 983804 
927239 929200 929153 927189 927231 926593 926423 927095 926925 929047 
891259 891602 891620 889673 889499 890274 888572 888844 889998 891275 
863300 860855 862579 861463 862037 864595 864338 860389 863877 863201 
843321 842537 842565 843434 843172 844100 843035 842813 841446 844197 
827166 827272 828181 826486 828699 827595 827818 827345 827511 827980 
815429 815499 815936 814613 816005 814728 816099 814861 814601 815434 
805107 805449 804454 805517 806571 805751 805740 805244 805952 806472 
797210 797098 798143 797316 797556 796743 796760 797462 797725 797668 
790390 790651 790650 790622 790620 791290 791511 791256 790725 790615 
784739 785114 785556 785548 784701 785218 784579 785622 784359 786057 
780837 780141 779408 780177 779881 780101 780411 780349 780530 780002 
775786 776375 776347 776112 775991 776193 776049 775745 776001 776067 
772626 772287 772563 772029 772103 771951 772211 772305 771908 771936 
769205 769125 768895 769106 769147 768614 769191 768802 768952 768555 
766123 765987 766297 765838 765759 766379 766703 766375 765826 765908 
763021 763106 763584 763569 763344 763617 763622 763769 762949 763776 
761476 761104 760616 760901 760825 761198 760880 761099 760667 760836 
1590821 1591350 1590653 1590938 1591290 1590770 1591092 1591101 1590899 1590753 
1071689 1062493 1077459 1072480 1068758 1075449 1070686 1068377 1076939 1077106 
1018787 1001642 1017107 1012606 1001467 1013732 1009213 1008784 1014802 1015715 
915025 923589 921444 919434 901103 917911 921140 911265 926684 907647 
870340 880090 881177 879054 866816 874080 873516 880278 876199 872332 
869450 870906 871865 870333 880113 869354 870560 869724 865949 872395 
860482 849267 859977 863773 849672 857022 860849 846220 860356 868604 
816928 803827 811747 808353 819487 815270 801155 800692 793159 825080 
750792 761194 772151 765713 760503 760860 750462 774445 768878 750069 
745856 732212 748327 730777 724728 727044 731584 733905 736989 738635 
721752 716243 718480 720508 714048 713564 717648 721219 719047 717693 
713663 721336 718750 715434 713114 710168 714222 715916 717828 712610 
717065 721620 709186 717650 709138 717359 715301 720039 713552 718988 
722761 721783 718270 718445 716547 721828 719992 717770 714745 720686 
726053 728350 717666 720601 720232 723333 722282 719409 722327 715903 
710785 712822 719896 729230 715449 723583 717811 710813 714742 719942 
701801 692570 697905 696041 719841 705733 715279 718144 722756 707730 
694508 699255 652422 696074 680372 680753 680519 687294 671766 673542 
647428 639551 672680 655741 640884 669250 685267 662815 650375 676444 
631432 644583 650253 660134 645635 645279 667257 664132 645733 651703 
631934 602132 610947 628210 622848 622392 604413 637764 595176 631504 
3221234 3241264 3243445 3257507 3217005 3250838 3243148 3219174 3219729 3232329 
1739413 1750506 1732306 1742666 1736566 1745223 1729182 1756112 1736786 1745338 
1184044 1175490 1185672 1176266 1175706 1187579 1187870 1192711 1187729 1181392 
916272 924632 915413 919842 921113 915790 917009 916624 925959 912015 
770878 777011 773750 772232 775183 769969 768319 768154 772847 773449 
679592 683981 684082 678360 675500 678304 676164 677556 678251 678746 
615231 608775 614211 614114 614139 616613 616556 610807 621136 617555 
570453 565590 567161 568607 568527 569146 566725 566562 564591 572900 
531960 533681 532636 530364 534688 532428 531706 533792 531967 533060 
505164 505529 505592 503262 506675 504133 505241 503249 503337 504579 
480780 480971 479418 481750 482857 483157 481620 480333 483293 484089 
463971 461453 464238 463988 463977 459641 460536 461519 462511 461634 
447380 448088 445050 448294 445655 449981 447910 448470 446367 446371 
433570 433721 435863 435911 432885 434672 431766 436290 433105 435141 
424599 422791 420384 423311 419675 421490 423986 422948 422262 422882 
411210 412874 414379 411993 410912 414559 412376 411621 412427 412686 
402263 402047 403432 402509 402975 403138 402637 404832 401454 401884 
396481 395443 395026 396462 395308 393588 397419 394211 394631 394145 
387170 387945 387797 387416 387068 388061 388893 388658 387246 388341 
380139 381139 381450 381958 381461 381814 382614 381141 380755 381680 
375007 375102 372918 374936 374477 375532 375693 375566 374371 373582 
2494220804 2498578707 2497178036 2497728494 2506895971 2491999405 2498857038 2509670413 2500308881 2506203971 
1085926 1073996 1094976 1075322 1061697 1078545 1062416 1083214 1071550 1081956 
582594 571199 582494 576799 572357 582825 584253 580001 587936 581712 
410708 415010 412307 412073 410870 413259 413967 411219 419162 408815 
329043 333988 332342 331561 331077 329594 330343 330047 329735 333257 
283232 283917 284398 281562 281417 281275 281085 281140 281981 283326 
249942 246711 249797 248435 248610 250900 250816 246544 251642 250418 
227187 225693 226012 226985 227015 227796 226228 225446 224929 228347 
208452 209016 209806 208277 209744 209175 209150 208799 209039 208899 
195529 195531 195653 194680 196036 194690 196353 194537 194606 195386 
184008 184494 184021 184735 185797 185139 184673 184477 185170 185744 
176051 175595 176799 175820 176245 175411 175290 176154 176139 176066 
168663 168758 168877 168720 168487 169670 169484 169300 168790 168518 
162595 163055 163199 163580 162499 163139 162344 163515 162315 164053 
158267 157823 156706 157809 157313 157521 157927 157803 157910 157834 
152742 153723 153823 153580 153428 153623 153438 152919 153287 153144 
149811 149195 149661 149093 149297 149107 149444 149474 148869 148847 
146433 146059 145903 146005 146127 145662 146147 145709 145564 145344 
142921 142776 143176 142733 142529 143278 143576 143139 142550 142741 
139901 139960 140365 140264 140253 140327 140353 140667 139766 140541 
138108 137624 137354 137645 137669 138007 137619 137850 137250 137615 
4131134 4124655 4127843 4138988 4111914 4126878 4108564 4123139 4128808 4139325 
834705 835392 834594 834073 831348 836962 830712 837874 835924 837222 
622606 620723 622790 621427 619149 624432 625317 623451 625415 622893 
518040 520811 518441 518643 519072 517919 518450 518362 522881 518734 
454833 457668 457499 456808 456013 454909 456237 455579 454379 458300 
412467 414968 413637 413596 412990 413625 411656 413490 412917 414032 
382833 379659 382498 380766 381405 382259 382524 379162 384208 382265 
358170 357693 357540 358950 358408 359797 357652 357805 356714 359672 
338416 339078 339678 338078 339699 339385 338605 339349 338778 340020 
323371 323669 323517 322551 324504 323095 324876 323172 323114 323751 
310295 310034 310436 310702 311778 311241 309906 310531 311947 311463 
300493 299662 300934 299720 300352 299150 299248 299329 300135 300120 
290443 291293 291331 290884 291344 291659 291684 291342 290817 290460 
283047 283992 283935 283876 282800 282992 283166 284128 282822 284774 
277504 277124 275302 276375 276301 276597 276785 276469 276905 276380 
270047 271163 271486 270428 270181 271141 270614 270693 270716 270912 
266577 265276 265942 264914 265166 264827 264899 265775 264797 264896 
261096 261002 260377 261133 261091 259782 261261 260829 260366 260213 
256607 256427 257120 256513 256323 257166 257303 256443 256259 256978 
252334 252488 252981 252606 253124 253091 252678 253421 252147 253429 
249861 249055 248869 249601 249179 249545 249211 249326 248781 249052 
4107310 4100166 4109017 4105102 4102994 4096955 4095483 4096449 4104649 4104357 
806038 805302 805978 806547 801741 806087 801736 808546 806069 807121 
615077 609465 614116 612025 610691 615094 615406 615192 616860 615619 
518877 520898 517098 518980 518755 518451 518464 518653 523113 518251 
459476 463085 461746 461045 462678 460901 461308 461150 459981 463672 
422158 423251 422586 421580 420371 421353 420125 420848 422157 422332 
392878 389303 392188 390831 392149 393027 392730 390384 394246 392458 
370489 368222 368957 370311 370433 370587 369448 369567 367846 371763 
350769 351915 352573 350859 352120 352309 351975 351706 351958 352078 
336531 336595 337278 336100 337192 336496 338156 336363 335800 336802 
324216 324520 324508 324533 325856 325086 324886 324674 325551 325942 
314912 313824 315281 314256 314215 314013 313757 314372 314908 314227 
305521 305871 305604 305615 305330 306633 305825 306293 305256 305882 
298399 298537 298857 299234 297897 298379 297917 298566 297685 299816 
292784 291695 290508 291185 291121 291712 291910 292215 292190 291559 
285213 286040 286417 286070 286269 286058 285841 284814 285730 285605 
280930 280271 280957 279978 279746 280216 279903 280318 279815 280042 
276123 275952 276250 276273 276339 275217 276386 275193 275305 275472 
271142 271287 271514 270925 271511 271572 272345 271730 270865 271200 
267223 267542 267741 267882 267687 268256 267761 268242 267117 268182 
264472 263829 263396 263652 264101 264166 264157 263965 263624 263642 
2511943 2512309 2511765 2512289 2512894 2511370 2512307 2512465 2511836 2513243 
538816 538198 539035 538474 536505 538496 536605 540539 537897 539028 
459385 457903 459277 458428 458078 459715 459786 459057 460100 458960 
426456 427621 427233 426984 426797 427512 427315 427036 428759 426405 
401920 404384 404067 403732 403088 402546 402971 402597 402595 404018 
375573 376488 376346 374333 373923 374186 373558 373874 374421 376085 
359400 358110 359310 359058 359173 359732 359570 358256 360024 359204 
349632 348721 348862 349471 349552 349725 348848 348593 348162 350046 
339868 340033 340471 339732 340328 339925 340091 339816 340088 340172 
331958 331612 332194 331427 332141 331235 332399 331123 331525 331995 
323259 323632 323063 323895 324611 324134 323658 323551 324367 324461 
315384 315147 316392 315057 315983 314931 314640 315613 315773 315555 
309429 309350 309493 309335 309389 309764 309689 309744 309435 309239 
307626 307820 307947 307967 307558 307783 307573 308074 307446 308040 
306539 306361 305989 306425 306239 306336 306438 306261 306419 306331 
304963 305262 305272 305160 305233 305285 305338 305131 305144 305326 
304246 304214 304359 304091 304219 304073 304293 304337 304123 304011 
303287 303309 303106 303348 303201 303148 303391 303177 303044 303033 
302054 302179 302356 302053 301969 302161 302352 302265 301936 302079 
300756 300854 301079 301107 301081 301130 301136 301180 300739 301059 
300043 299589 299503 299632 299599 299853 299736 299820 299449 299615 
1800216 1801380 1800591 1800077 1800940 1800446 1800280 1801519 1800134 1800921 
866917 866504 867519 866637 864847 865846 865071 870365 864711 866114 
701112 699368 699792 699204 697986 701257 704859 701493 704264 700293 
584040 590060 584202 586601 586726 586068 586009 586590 588143 584130 
500839 502345 503604 499552 503343 498109 499687 500148 499372 504224 
435120 436184 436495 434564 434075 434759 432421 433326 435513 435466 
381477 377522 381935 378951 379533 384340 383578 377790 383415 383532 
338310 339468 339143 340711 339395 340714 339019 337891 334955 340804 
304121 303755 303086 302566 305874 304010 303640 303580 303435 305162 
273243 278134 273715 272278 276575 275691 276470 274840 273035 273178 
248166 249049 247135 249433 252098 251732 249377 250438 251067 252018 
229179 228731 232540 230260 231585 227558 227169 230610 229513 230619 
211957 213546 212420 212109 212430 214884 214551 213542 212355 209890 
196754 198296 199728 198982 196441 198557 196618 200059 196857 200694 
186883 186204 183553 187170 186457 185569 186850 185565 187362 185922 
173383 175704 177191 174533 175248 176614 176288 174587 175746 176139 
167154 166239 167216 164396 166148 165809 165907 167794 165310 164529 
159644 159043 158476 158939 159367 158336 158511 158343 158318 157295 
151817 152371 152342 150700 150373 152256 152567 151890 151061 151675 
145157 144072 146316 145911 146106 146468 145726 146087 143862 145588 
141818 140292 139570 140350 141020 140786 140014 140590 139076 139206 
