MergeSort QuickSort TimSort OESM Cook_Kim InsertionSort LIS BothAlgo2 TwoMomentSort DDS 
10 21 10
5044 5044 5044 5044 5044 5044 5044 5044 5044 5044 
5273 5277 5266 5288 5290 5265 5288 5291 5283 5269 
5404 5420 5422 5389 5401 5403 5378 5390 5398 5410 
5489 5471 5542 5450 5494 5495 5503 5511 5479 5520 
5567 5552 5593 5540 5532 5575 5571 5579 5567 5585 
5640 5636 5641 5609 5658 5652 5609 5616 5641 5607 
5659 5676 5664 5674 5684 5667 5654 5653 5679 5624 
5725 5702 5732 5730 5720 5703 5738 5719 5718 5682 
5769 5788 5768 5701 5744 5769 5754 5751 5790 5740 
5805 5796 5766 5779 5777 5804 5792 5783 5820 5785 
5828 5821 5822 5831 5824 5814 5809 5834 5799 5841 
5830 5859 5921 5834 5851 5840 5851 5876 5859 5896 
5889 5874 5867 5884 5893 5903 5845 5850 5890 5920 
5956 5900 5899 5903 5904 5858 5919 5915 5867 5892 
5942 5920 5964 5928 5934 5891 5918 5947 5919 5934 
5995 5937 5907 5937 5962 5959 5982 5946 5976 5963 
5972 5987 5959 5931 5954 5946 5997 6021 5975 6000 
5963 5953 6003 6011 5956 5969 5988 6008 5999 6035 
6021 5992 6014 6024 6000 5987 6008 6008 6014 6041 
6000 6042 6028 6058 6039 6011 6010 6054 6068 6012 
6034 6040 6065 6109 6039 6058 6044 6038 6024 5998 
11466 10352 11629 11043 10232 10527 10339 10153 10934 10118 
10773 11085 11164 10317 10477 10080 10661 11002 11875 10818 
10320 11379 11284 11101 10931 12324 11583 10089 11452 10374 
10026 10356 11174 11785 10916 10609 10332 10459 10992 10241 
11498 10296 12406 10951 10168 10942 11173 11901 10747 10458 
11303 11385 11404 11002 11207 11377 10415 10425 12316 10894 
11097 10805 10904 10771 11730 11115 10031 10596 10593 12270 
11439 11199 11091 10823 11135 12345 9959 11206 11052 12333 
10397 10461 10819 10235 12491 10304 11262 12341 10628 10664 
10094 11127 10271 11637 10283 10133 10661 12811 12398 11455 
10632 11532 10071 10584 11722 10143 12714 11448 11929 10480 
11261 10983 10986 10206 10582 11006 10374 10964 11582 11319 
11386 11333 10280 10635 12661 11465 10191 10362 11945 10808 
9622 11585 10844 11498 11837 10278 11513 10675 10137 11706 
11748 10931 10868 10060 11184 11083 11513 10962 10324 10914 
10990 11332 10727 10170 10979 11235 10984 10756 10308 11144 
10803 11905 9810 10969 10135 10383 11195 11191 11139 10241 
11699 10771 9940 11344 10837 11563 10289 11218 10079 10983 
10902 10746 12314 10667 11349 10281 10225 10899 10580 10339 
11263 11300 11297 10315 9812 13118 10824 11117 11873 10293 
10944 11250 10923 10680 11598 11146 10711 12493 11879 11153 
3528 3528 3528 3528 3528 3528 3528 3528 3528 3528 
3982 3989 4004 3992 3967 3971 3971 3989 4003 3968 
4268 4267 4288 4252 4224 4253 4217 4242 4258 4250 
4448 4419 4480 4412 4478 4503 4470 4470 4487 4453 
4597 4639 4687 4602 4595 4616 4608 4694 4689 4652 
4769 4788 4783 4786 4867 4813 4748 4794 4819 4783 
4889 4855 4917 4907 4961 4862 4918 4822 4905 4901 
5063 5014 5062 4981 5044 4998 5090 4978 5052 4986 
